SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_SECURITY,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
329,Turner ES,-76.98030993,38.84763494,Elementary,es,1,8,TRUE,2015,0.78,0.78,332,87,0,39,426,3967926.27,403260.625,0,63926.876,174685.0209,0,0,0,0,142600,69870,0,0,0,0,0,212470,4822268.792
330,Tyler ES,-76.99204166,38.88108402,Elementary,es,3,6,TRUE,2015,0.4,0.4,221,144,6,71,549,4623378.196,1191712.61,21764.00875,63926.876,219765.0262,0,0,0,0,249526,0,0,0,0,0,0,249526,6370072.717
332,Walker-Jones EC,-77.01391586,38.90419176,Education Campus,campus,5,6,TRUE,2015,0.72,0.72,331,86,12,110,461,3985286.617,1444730.11,47313.0625,91482.0465,196791.562,0,0,0,0,316039,125487,0,0,0,0,0,441526,6207129.398
474,Washington Metropolitan HS,-77.01558467,38.92042978,High,hs,8,1,TRUE,2015,NA,NA,NA,0,4,46,304,2647190.683,857404.3725,17032.7025,0,121369.2453,0,0,0,0,70860,0,0,0,40460,0,0,111320,3754317.003
333,Watkins ES,-76.98999677,38.88346667,Elementary,es,2,6,FALSE,2015,0.21,0.21,112,0,3,39,523,3591382.708,473130.625,13247.6575,63926.876,93652.73392,0,379176.3998,0,0,146926,0,0,0,0,0,0,146926,4761443
336,West EC,-77.03225306,38.95136708,Education Campus,campus,6,4,FALSE,2015,0.34,0.34,93,70,14,29,273,2909804.605,283878.5,94626.125,50149.29075,69989.04721,0,0,0,0,145300,94626,0,0,0,0,0,239926,3648373.568
335,Wheatley EC,-76.98850077,38.90411741,Education Campus,campus,5,5,TRUE,2015,0.78,0.78,340,68,3,75,435,3766877.026,851635.125,13247.6575,77704.46125,191590.0229,0,0,0,0,550004,0,0,0,0,0,0,550004,5451058.293
338,Whittier EC,-77.0192386,38.96585694,Education Campus,campus,6,4,FALSE,2015,0.56,0.56,195,51,39,83,348,2921916.752,933759.4825,141939.1875,50149.29075,156913.0957,0,0,0,0,611376,561627,0,0,0,0,0,1173003,5377680.809
463,Wilson HS,-77.0777752,38.95015581,High,hs,8,3,FALSE,2015,0.2,0.2,343,0,80,184,1708,9874593.513,2235181.85,473130.625,0,42400,0,2976946.012,0,0,243628,0,0,0,72828,0,0,316456,15918708
464,"Woodson, H.D. HS",-76.92232214,38.89678282,High,hs,9,7,TRUE,2015,0.69,0.69,499,0,7,213,729,5007079.582,2786330.49,30280.36,0,330297.7318,0,0,0,0,145728,39009,0,0,72828,0,0,257565,8411553.164
